Timestamp,"By clicking ""I Agree"" below, you confirm that:
You have read and understood the purpose of this survey.
You consent to participate in this survey.",  1. What is your age?   ,  2. What is your gender?  ,  3 How do you identify your ethnic background? (Select all that apply)  ,  4. What is your current employment status?   ,  5. How often do you feel that your workload is difficult to manage?  ,  6. How frequently do you experience feelings of burnout or exhaustion related to work?  ,"  7. In the past year, have you taken any days off specifically due to stress, anxiety, or mental health reasons?   ","  8. On an average, how many hours do you sleep per night?  ","  9. How many hours of physical activity (e.g., exercise, walking) do you engage in per week?   ",  10. Do you find it challenging to relax after work or other responsibilities?   ,  11. Have you experienced significant changes in your appetite or weight within the past three months?   ,  12. How often do you engage in the following behaviors as a response to stress or for relaxation? (Select all that apply)    [Alcohol Consumption],  12. How often do you engage in the following behaviors as a response to stress or for relaxation? (Select all that apply)    [Smoking],"  12. How often do you engage in the following behaviors as a response to stress or for relaxation? (Select all that apply)    [Caffeine Intake (e.g., coffee, tea,energy drinks)]",  12. How often do you engage in the following behaviors as a response to stress or for relaxation? (Select all that apply)    [Consumption of Sugary or High-Calorie Snacks],"  13. How often do you experience feelings of sadness, hopelessness, or mood swings?   ",15. Have you been diagnosed with a mental health disorder?  ,"14. Are you currently experiencing any mental health-related challenges (e.g., anxiety, depression, bipolar disorder, OCD, Sleep disorder,Postpartum, etc.)? ","  16. Do you have a family history of mental health disorders(e.g., Alzheimer's,Dementia,Sleep disorders ,Postpartum,Addiction to alcohol and drugs, etc.)?   ",  17. How satisfied are you with your current work-life balance?  ,  18. What coping strategies do you use to manage mental health or stress? (Select all that apply)  ,"  19. When faced with stress, how likely are you to seek help from a mental health professional?   ","  20. How often do you engage in activities specifically for relaxation (e.g., meditation, reading, etc)?  "
12/21/2024 1:33:54,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Often,Sometimes,No,6 - 7 hours,1 - 2 hours,Often,Yes,Never,Never,Rarely,Rarely,Weekly,No,No,No,Satisfied,"Physical activity, Meditation",Very unlikely,Weekly
12/22/2024 0:26:19,I Agree,35-44,Female,"Middle Eastern (e.g., Saudi Arabia, Iran, Iraq)",Part-time,Sometimes,Sometimes,Yes,6 - 7 hours,5 - 6 hours,Often,Yes,Never,Regularly,Regularly,Regularly,Monthly,No,Yes,No,Neutral,"Physical activity, Meditation",Very likely,Daily
12/22/2024 1:18:07,I Agree,25-34,Non-binary/Third gender,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Rarely,Rarely,,,1 - 2 hours,,,Occasionally,,Regularly,Regularly,Rarely,,,,,,,
12/22/2024 13:07:37,I Agree,25-34,Female,Prefer not to say,Full-time,Rarely,Rarely,No,6 - 7 hours,Less than 1 hour,Sometimes,Yes,,,Occasionally,Occasionally,Never,No,Yes,No,Satisfied,"Physical activity, Other",Likely,Weekly
12/22/2024 13:31:21,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Often,Often,Yes,4 - 5 hours,1 - 2 hours,Sometimes,Yes,Never,Never,Regularly,Regularly,Weekly,Yes,Yes,Yes,Neutral,"Physical activity, Social support, Journaling",Neutral,Weekly
12/22/2024 13:36:49,I Agree,25-34,Male,Prefer not to say,Full-time,Often,Often,Yes,6 - 7 hours,Less than 1 hour,Always,Yes,Rarely,Rarely,Occasionally,Regularly,Daily,No,No,No,Neutral,Avoidance,Very unlikely,Rarely
12/22/2024 13:37:29,I Agree,35-44,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Rarely,No,8 - 9 hours,3 - 4 hours,Sometimes,Yes,Never,Never,Never,Rarely,Rarely,No,Yes,No,Satisfied,Avoidance,Very unlikely,Rarely
12/22/2024 13:57:44,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,Yes,6 - 7 hours,3 - 4 hours,Sometimes,Yes,Occasionally,Never,Regularly,Regularly,Rarely,No,No,No,Satisfied,Physical activity,Very unlikely,Daily
12/22/2024 15:07:13,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Rarely,Rarely,No,8 - 9 hours,Less than 1 hour,Rarely,No,Rarely,Never,Rarely,Rarely,Weekly,No,No,No,Neutral,Other,Neutral,Rarely
12/22/2024 15:18:40,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Often,Rarely,No,6 - 7 hours,Less than 1 hour,Sometimes,No,,,,Rarely,Rarely,Yes,No,Yes,Satisfied,"Meditation, Avoidance",Likely,Monthly
12/22/2024 17:43:44,I Agree,35-44,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Never,Rarely,No,6 - 7 hours,Less than 1 hour,Rarely,,Rarely,Regularly,Regularly,Regularly,Weekly,No,,No,Dissatisfied,Social support,,Never
12/22/2024 18:01:08,I Agree,35-44,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Never,Yes,6 - 7 hours,3 - 4 hours,Always,Yes,Occasionally,Never,Regularly,Never,Monthly,No,No,No,Neutral,"Physical activity, Social support, Meditation",Likely,Daily
12/22/2024 18:50:53,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Self-employed,Sometimes,Sometimes,No,8 - 9 hours,Less than 1 hour,Rarely,No,Occasionally,Never,Regularly,Occasionally,Rarely,No,No,No,Neutral,Social support,Neutral,Never
12/22/2024 19:06:29,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Never,No,4 - 5 hours,Less than 1 hour,Rarely,No,Never,Never,Regularly,Occasionally,Monthly,No,Yes,Yes,Very satisfied,"Therapy, Journaling",Very likely,Weekly
12/22/2024 20:54:23,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,No,6 - 7 hours,Less than 1 hour,Rarely,Yes,Never,Never,Regularly,Occasionally,Weekly,No,No,No,Neutral,"Social support, Avoidance",Very unlikely,Rarely
12/22/2024 21:31:03,I Agree,35-44,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Often,Often,Yes,6 - 7 hours,Less than 1 hour,Sometimes,Yes,Occasionally,Occasionally,Rarely,Occasionally,Weekly,No,No,No,Neutral,Social support,Neutral,Never
12/22/2024 22:12:46,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Sometimes,Sometimes,No,6 - 7 hours,1 - 2 hours,Sometimes,Yes,Never,Never,Never,Never,Weekly,No,No,No,Neutral,"Physical activity, Social support, Meditation, Therapy, Journaling, Avoidance",Neutral,Weekly
12/22/2024 22:44:55,I Agree,45-54,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Never,Rarely,No,6 - 7 hours,Less than 1 hour,Rarely,No,Regularly,,,,Never,No,No,No,Satisfied,Physical activity,Very unlikely,Weekly
12/22/2024 22:54:44,I Agree,45-54,Male,Other,Full-time,Sometimes,Sometimes,No,6 - 7 hours,More than 6 hours,Rarely,Yes,Never,Never,Occasionally,Never,Rarely,No,No,No,Satisfied,"Physical activity, Other",Very unlikely,Daily
12/22/2024 23:04:15,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,No,6 - 7 hours,Less than 1 hour,Sometimes,Yes,Never,Never,Regularly,Regularly,,No,No,No,Neutral,Physical activity,Neutral,Rarely
12/22/2024 23:23:20,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Never,No,6 - 7 hours,Less than 1 hour,Always,Yes,,,Regularly,Regularly,Monthly,No,Yes,No,Satisfied,,Very likely,Never
12/23/2024 0:46:14,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Often,Sometimes,No,6 - 7 hours,Less than 1 hour,Rarely,Yes,Never,Never,Never,Rarely,Monthly,No,Yes,No,Neutral,Other,Unlikely,Weekly
12/23/2024 1:37:15,I Agree,35-44,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,Yes,6 - 7 hours,5 - 6 hours,Sometimes,Yes,Occasionally,Occasionally,Occasionally,Occasionally,Monthly,No,No,No,Very satisfied,Avoidance,Unlikely,Rarely
12/23/2024 1:53:56,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Often,Often,No,6 - 7 hours,Less than 1 hour,Always,Yes,Never,Never,Occasionally,Regularly,Daily,No,Yes,No,Dissatisfied,Avoidance,Unlikely,Rarely
12/23/2024 2:44:52,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,Yes,6 - 7 hours,3 - 4 hours,Sometimes,No,Never,Never,Rarely,Occasionally,Weekly,No,No,No,Satisfied,Other,Unlikely,Rarely
12/23/2024 2:52:44,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Sometimes,Sometimes,No,6 - 7 hours,Less than 1 hour,Sometimes,Yes,,,Regularly,Regularly,Daily,No,Yes,No,Dissatisfied,,Neutral,Rarely
12/23/2024 2:56:34,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Sometimes,Yes,4 - 5 hours,3 - 4 hours,Sometimes,No,Never,Never,Occasionally,Rarely,Daily,No,Yes,No,Satisfied,"Physical activity, Meditation, Journaling",Unlikely,Daily
12/23/2024 4:28:14,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Never,Rarely,No,6 - 7 hours,1 - 2 hours,Option 1,Yes,Rarely,Never,Regularly,Regularly,Rarely,Yes,Yes,No,Very satisfied,Physical activity,Unlikely,
12/23/2024 6:12:28,I Agree,35-44,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,No,6 - 7 hours,3 - 4 hours,Sometimes,Yes,Never,Never,Rarely,Rarely,Weekly,No,No,No,Satisfied,Avoidance,Neutral,Daily
12/23/2024 9:45:01,I Agree,,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Sometimes,No,6 - 7 hours,Less than 1 hour,Rarely,No,Never,Never,Never,Occasionally,Rarely,No,No,No,Very satisfied,Other,Neutral,Weekly
12/23/2024 21:44:38,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Unemployed,Often,Often,Yes,6 - 7 hours,Less than 1 hour,Always,Yes,Never,Never,Rarely,Regularly,Rarely,No,Prefer not to say,No,Neutral,Other,Unlikely,Never
12/23/2024 23:08:42,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,No,6 - 7 hours,Less than 1 hour,Rarely,Yes,Never,Never,Rarely,Occasionally,Daily,No,Yes,No,Neutral,"Physical activity, Social support, Avoidance",Neutral,Rarely
12/23/2024 23:45:04,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Often,No,6 - 7 hours,Less than 1 hour,Option 1,Yes,Never,Never,Regularly,Regularly,Daily,No,Yes,No,Dissatisfied,Other,Neutral,Never
12/24/2024 1:15:51,I Agree,35-44,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Rarely,No,6 - 7 hours,3 - 4 hours,Rarely,No,Rarely,,,Rarely,Rarely,No,No,No,Neutral,Other,Very unlikely,Never
12/24/2024 2:22:23,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,No,8 - 9 hours,Less than 1 hour,Rarely,Yes,Never,Never,Regularly,Rarely,Weekly,No,No,No,Satisfied,"Physical activity, Social support",Very unlikely,Never
12/24/2024 5:31:19,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,No,6 - 7 hours,1 - 2 hours,Sometimes,No,Never,Never,Never,Rarely,Rarely,No,No,No,Satisfied,"Physical activity, Social support",Very unlikely,Rarely
12/24/2024 7:02:01,I Agree,55 and above,Female,,Retired,Never,Rarely,Not applicable,6 - 7 hours,Less than 1 hour,,Yes,,,,,Never,No,No,No,Satisfied,Other,Unlikely,Rarely
12/24/2024 10:36:26,I Agree,55 and above,Male,"Asian (e.g., China, India, Japan, Philippines)",Unemployed,Rarely,Never,No,6 - 7 hours,1 - 2 hours,Not Applicable,No,Rarely,,Regularly,Rarely,Never,Prefer not to say,Prefer not to say,Prefer not to say,Satisfied,"Physical activity, Other",Neutral,Daily
12/25/2024 5:45:06,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Rarely,No,6 - 7 hours,Less than 1 hour,Sometimes,No,Never,Never,Never,Occasionally,Rarely,No,No,No,Satisfied,"Physical activity, Social support, Meditation, Journaling",Neutral,Weekly
12/28/2024 18:28:38,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,No,6 - 7 hours,3 - 4 hours,Rarely,No,Rarely,Rarely,Regularly,Regularly,Rarely,No,No,No,Neutral,Other,Very unlikely,Never
12/31/2024 8:44:29,I Agree,35-44,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Rarely,No,6 - 7 hours,1 - 2 hours,Rarely,No,Rarely,Never,Rarely,Rarely,Rarely,No,No,No,Satisfied,Physical activity,Unlikely,Rarely
12/31/2024 8:50:57,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Often,Always,Yes,6 - 7 hours,1 - 2 hours,Often,Yes,Rarely,Never,Regularly,Occasionally,Weekly,No,No,No,Very dissatisfied,"Physical activity, Social support, Journaling, Avoidance, Other",Neutral,Daily
1/2/2025 22:13:48,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Never,No,6 - 7 hours,1 - 2 hours,Rarely,No,Never,Never,Regularly,Occasionally,Rarely,No,No,No,Satisfied,"Physical activity, Social support",Unlikely,Weekly
1/2/2025 22:20:09,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Often,Often,Yes,6 - 7 hours,Less than 1 hour,Rarely,Yes,,,Regularly,Occasionally,Weekly,No,No,No,Dissatisfied,Social support,Neutral,Rarely
1/2/2025 22:35:33,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Unemployed,Never,Rarely,No,6 - 7 hours,1 - 2 hours,,No,Occasionally,Occasionally,Regularly,Occasionally,Monthly,No,No,No,Satisfied,Other,Likely,Daily
1/2/2025 22:41:19,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Often,Often,No,6 - 7 hours,Less than 1 hour,Often,No,,,,Occasionally,Monthly,No,No,Yes,Dissatisfied,Avoidance,Unlikely,Rarely
1/2/2025 22:46:51,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Never,Never,No,6 - 7 hours,1 - 2 hours,Sometimes,Yes,,,Rarely,Rarely,Monthly,No,No,No,Neutral,Meditation,Neutral,Weekly
1/2/2025 22:50:25,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,No,8 - 9 hours,More than 6 hours,Sometimes,,Never,Never,Rarely,Occasionally,Never,No,No,No,Neutral,Social support,Neutral,Monthly
1/2/2025 22:50:39,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Self-employed,Never,Rarely,No,6 - 7 hours,Less than 1 hour,Option 1,No,,,,Occasionally,Monthly,No,No,No,Very satisfied,Physical activity,Likely,Rarely
1/2/2025 23:20:06,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Unemployed,Sometimes,Sometimes,No,6 - 7 hours,1 - 2 hours,Sometimes,No,Never,Never,Occasionally,Occasionally,Rarely,No,No,No,Neutral,"Physical activity, Avoidance",Very unlikely,Weekly
1/2/2025 23:53:15,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,No,8 - 9 hours,Less than 1 hour,Rarely,Yes,Never,Never,Occasionally,Regularly,Weekly,No,No,No,Very satisfied,"Physical activity, Social support, Meditation",Unlikely,Never
1/3/2025 0:00:27,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Rarely,No,6 - 7 hours,3 - 4 hours,Rarely,No,Rarely,Rarely,Rarely,Rarely,Rarely,No,No,Yes,Satisfied,Physical activity,Unlikely,Rarely
1/3/2025 0:28:44,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Often,Often,Yes,6 - 7 hours,Less than 1 hour,Always,Yes,,,,,Daily,No,No,No,Neutral,"Physical activity, Social support, Avoidance, Other",Very unlikely,Daily
1/3/2025 0:34:28,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,Yes,6 - 7 hours,Less than 1 hour,Sometimes,No,,,Regularly,,Monthly,No,No,No,Neutral,"Physical activity, Social support",Unlikely,Rarely
1/3/2025 2:32:03,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Sometimes,Rarely,No,6 - 7 hours,More than 6 hours,Rarely,No,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,No,No,No,Neutral,"Physical activity, Social support",Very unlikely,Never
1/3/2025 6:42:49,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Sometimes,No,4 - 5 hours,1 - 2 hours,Rarely,Yes,Never,Never,Regularly,Occasionally,Monthly,No,No,Yes,Dissatisfied,Other,Likely,Rarely
1/3/2025 8:46:12,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,Yes,8 - 9 hours,Less than 1 hour,Sometimes,Yes,Rarely,Never,Regularly,Regularly,Weekly,Yes,Yes,Yes,Neutral,"Social support, Journaling, Avoidance, Other",Unlikely,Rarely
1/3/2025 9:24:37,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Sometimes,Sometimes,No,6 - 7 hours,Less than 1 hour,Rarely,Yes,Never,Never,Rarely,Occasionally,Weekly,No,No,No,Satisfied,"Physical activity, Social support, Other",Neutral,Daily
1/3/2025 9:24:38,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,No,6 - 7 hours,Less than 1 hour,Rarely,Yes,Never,Never,Rarely,Occasionally,Daily,No,No,No,Neutral,"Social support, Other",Neutral,Weekly
1/3/2025 10:04:21,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,No,8 - 9 hours,Less than 1 hour,Rarely,No,Never,Never,Never,Never,Rarely,No,No,No,Neutral,Other,Neutral,Weekly
1/3/2025 10:37:01,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Sometimes,Rarely,Yes,8 - 9 hours,1 - 2 hours,Option 1,Yes,Regularly,,,,Weekly,Yes,Yes,Yes,Satisfied,Social support,Likely,Daily
1/3/2025 10:42:11,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Sometimes,Sometimes,No,6 - 7 hours,5 - 6 hours,Sometimes,Yes,Rarely,Rarely,Rarely,Rarely,Daily,No,No,No,Neutral,"Physical activity, Social support",Neutral,Daily
1/3/2025 10:50:13,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Never,No,6 - 7 hours,More than 6 hours,Sometimes,Yes,Occasionally,Never,Regularly,Never,Weekly,No,Prefer not to say,No,Very satisfied,Meditation,Neutral,Daily
1/3/2025 10:55:26,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Sometimes,No,4 - 5 hours,Less than 1 hour,Always,Yes,Occasionally,,Regularly,Regularly,Weekly,Yes,No,No,Satisfied,"Physical activity, Social support, Avoidance",Neutral,Rarely
1/3/2025 11:03:13,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Never,Rarely,No,6 - 7 hours,5 - 6 hours,Option 1,Yes,Never,Never,Regularly,Occasionally,Never,No,No,No,Satisfied,Physical activity,Neutral,Daily
1/3/2025 11:25:38,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Unemployed,Sometimes,Always,Yes,8 - 9 hours,Less than 1 hour,Sometimes,Yes,Rarely,Never,Occasionally,Occasionally,Daily,No,No,No,Dissatisfied,"Physical activity, Meditation",Neutral,Weekly
1/3/2025 11:26:51,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Rarely,Rarely,No,6 - 7 hours,5 - 6 hours,Rarely,Yes,Never,Never,Regularly,Occasionally,Never,No,No,No,Neutral,Physical activity,Very unlikely,Daily
1/3/2025 11:37:11,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Always,Always,No,4 - 5 hours,More than 6 hours,Always,Not Applicable,Occasionally,Never,Occasionally,Occasionally,Weekly,Prefer not to say,Prefer not to say,Prefer not to say,Neutral,"Social support, Avoidance",Unlikely,Rarely
1/3/2025 11:40:43,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Always,Sometimes,Not applicable,6 - 7 hours,1 - 2 hours,Sometimes,Yes,Rarely,Never,Regularly,Rarely,Rarely,No,No,No,Neutral,"Physical activity, Social support, Journaling",Neutral,Rarely
1/3/2025 11:54:01,I Agree,18-24,Male,Other,Student,Never,Never,No,6 - 7 hours,Less than 1 hour,Always,No,Never,Never,Regularly,Rarely,Never,No,No,No,Neutral,Other,Neutral,Daily
1/3/2025 12:03:36,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Unemployed,Not applicable,Always,Yes,4 - 5 hours,Less than 1 hour,Sometimes,Yes,Rarely,Never,Regularly,Regularly,Daily,Prefer not to say,Yes,Prefer not to say,Neutral,Avoidance,Neutral,Rarely
1/3/2025 12:19:29,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Sometimes,Yes,6 - 7 hours,Less than 1 hour,Sometimes,Yes,Rarely,Never,Occasionally,Occasionally,Weekly,No,No,No,Neutral,Physical activity,Neutral,Rarely
1/3/2025 12:20:12,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Often,Often,No,4 - 5 hours,Less than 1 hour,Sometimes,Yes,Never,Never,Regularly,Regularly,Weekly,No,Prefer not to say,No,Neutral,"Social support, Other",Very unlikely,Rarely
1/3/2025 12:26:07,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Rarely,No,6 - 7 hours,Less than 1 hour,Rarely,Yes,Never,Never,Never,Occasionally,Monthly,No,No,No,Neutral,Other,Very unlikely,Never
1/3/2025 12:30:46,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Sometimes,No,6 - 7 hours,Less than 1 hour,Rarely,No,,,Occasionally,Occasionally,Daily,No,No,No,Neutral,"Social support, Other",Unlikely,Daily
